1;Grodzisko/ 3 MAJA, Dπbrowskiego;14;"Umocnienia Grodziska wraz z elementami strukturalnymi (majdan fortu Grodzisko, Bastion Jerozolimski, Wysokie Czolo Kurkowe, Wysokie Skrzyd≥o Kurkowe,. Niskie Czolo Kurkowe, Luneta Senarmomt""a, Zbrojownia";474
325;BAJKI;31;dom;
326;BA£TYCKA;3;dom;
327;BA£TYCKA;4/4 A;dom;
328;BA£TYCKA;9;dom;
329;BA£TYCKA;13;dom;
330;BA£TYCKA;14;dom;
331;BA£TYCKA;16-17/30-31;zespÛ≥ domÛw rybackich;1190
332;BA£TYCKA;18-19/28-29;zespÛ≥ domÛw rybackich;1190
333;BA£TYCKA;20-21/26-27;zespÛ≥ domÛw rybackich;1190
334;BA£TYCKA;22/25;zespÛ≥ domÛw rybackich;1190
335;BA£TYCKA;39;dom;
336;BA£TYCKA;41;dom;
337;BANI—SKA ;02;dom;
338;BANI—SKA ;12;dom;
339;BARNIEWICKA;76/76A;budynek folwarku Nowy åwiat;
340;BARNIEWICKA;02;dom;
341;BARNIEWICKA;02;dom;
342;BARNIEWICKA;04 E;dom;
343;BARNIEWICKA;32;dom;
344;BARNIEWICKA;38;dom;
345;BARNIEWICKA;58;dom;
346;BARNIEWICKA;58;dom;
347;BARNIEWICKA;60;dom pracownikÛw kolei;
348;BARNIEWICKA;60;przedszkole;
349;BARNIEWICKA;60 A;d. budynek dworca PKP GdaÒsk-Osowa;
350;BARNIEWICKA;60 (w pobliøu);budynek spedycji kolejowej stacji GdaÒsk-Osowa;
351;BARNIEWICKA;60 (w pobliøu);budynek toalety na stacji kolejowej GdaÒsk-Osowa;
352;BARNIEWICKA;w  pobliøu adresu Barniewicka 42;budynek nastawni wykonawczej OS1 na stacji kolejowej GdaÒsk-Osowa;
353;BARNIEWICKA;62;dom;
354;BARNIEWICKA;66;budynek gospodarczy ( d.zwiπzany z liniπ kolejowπ);
355;BARNIEWICKA;66;dom;
356;BATALION”W CH£OPSKICH ;02/4;dom;
357;BATALION”W CH£OPSKICH ;02/4;dom;
358;BATALION”W CH£OPSKICH ;06/8;dom;
359;BATALION”W CH£OPSKICH ;06/8;dom;
360;BATALION”W CH£OPSKICH ;20;dom;
361;BATALION”W CH£OPSKICH ;20;dom;
362;BATALION”W CH£OPSKICH ;24;dom;
363;BATALION”W CH£OPSKICH ;24;dom;
364;BATALION”W CH£OPSKICH ;30/32;dom;
365;BATALION”W CH£OPSKICH ;30/32;dom;
366;BATALION”W CH£OPSKICH ;31;dom;
367;BATALION”W CH£OPSKICH ;31;dom;
368;BATALION”W CH£OPSKICH ;38;dom;
369;BATALION”W CH£OPSKICH ;42/44;dom;
370;BATALION”W CH£OPSKICH ;42/44;dom;
371;BATALION”W CH£OPSKICH ;42/44;dom;
372;BATALION”W CH£OPSKICH ;42/44;dom;
373;BATALION”W CH£OPSKICH ;43;dom;
374;BATALION”W CH£OPSKICH ;43;dom;
375;BATALION”W CH£OPSKICH ;43;dom;
376;BATALION”W CH£OPSKICH ;46/48;dom;
377;BATALION”W CH£OPSKICH ;46/48;dom;
378;BATALION”W CH£OPSKICH ;46/48;dom;
379;BATALION”W CH£OPSKICH ;50/52;dom;
380;BATALION”W CH£OPSKICH ;50/52;dom;
381;BATOREGO Stefana;2;willa;
382;BATOREGO Stefana;4;willa;
383;BATOREGO Stefana;5;willa;
384;BATOREGO Stefana;7/7 A;willa;
385;BATOREGO Stefana;8;willa;
386;BATOREGO Stefana;9;willa;
387;BATOREGO Stefana;10;willa;
388;BATOREGO Stefana;11;willa;
389;BATOREGO Stefana;13;willa;
390;BATOREGO Stefana;14 ;willa;
391;BATOREGO Stefana;14 A B;willa;
392;BATOREGO Stefana;15;willa, konsulat;
393;BATOREGO Stefana;16;willa z ogrodzeniem i dzia≥kπ;1742
394;BATOREGO Stefana;17;willa;
395;BATOREGO Stefana;18;willa;
396;BATOREGO Stefana;19;willa;
397;BATOREGO Stefana;20;willa;
398;BATOREGO Stefana;21;dom;
399;BATOREGO Stefana;26;d. sierociniec z dzia≥ka i starodrzewem;1759
400;BATOREGO Stefana;29;willa;
401;BATOREGO Stefana;30;willa;
402;BATOREGO Stefana;40;willa;
403;BATOREGO Stefana;41;willa;
404;BATOREGO Stefana;43;willa;
405;BATOREGO Stefana;44/46/48;zespÛ≥ domÛw ;
406;BATOREGO Stefana;45/47/49;zespÛ≥ domÛw ;
407;BAØY—SKIEGO Jana;1/3;dom;
408;BEDNARSKA;02;dom;
409;BEETHOVENA Ludwika;2/2A;dom;
410;BEETHOVENA Ludwika;4;dom/ us≥.medyczne;
411;BEETHOVENA Ludwika;6/6A;dom;
412;BEETHOVENA Ludwika;45/47;dom;
413;BEETHOVENA Ludwika;50/52;dom;
414;BEETHOVENA Ludwika;57/59;dom;
415;BEETHOVENA Ludwika;70/72;dom;
416;BEETHOVENA Ludwika;94/96;dom;
417;BEMA gen. JÛzefa;7/8;dom;
418;BEMA gen. JÛzefa;9/10;dom;
419;BEMA gen. JÛzefa;11/12;dom;
420;BEMA gen. JÛzefa;13/14;dom;
421;BEMA gen. JÛzefa;15;dom;
422;BEMA gen. JÛzefa;16/17;dom ;
423;BENZYNOWA;2;dom;
424;BENZYNOWA;12;dom;
425;BENZYNOWA;13;dom;
426;BENZYNOWA;14;dom;
427;BIA£A;4;kamienica;
428;BIA£A;5;kamienica;
429;BIA£A;9;kamienica;
430;BIA£A;11;budynek ;
431;BIA£A;11;ogrodzenie;
432;BIA£A;12;budynek ;
433;BIA£A;12;ogrodzenie;
434;BIA£A;13;budynek ;
435;BIA£A;13;ogrodzenie;
436;BIA£A;14;budynek ;
437;BIA£A;14;ogrodzenie;
438;BIA£OSTOCKA;40;dom;
439;BIA£OSTOCKA;40;drugi budynek;
440;BIELA—SKA;1;budynek d. Miastoprojektu, ob. UG;
441;BIOLOGICZNA;01;dom;
442;BISKUPIA;4;kamienica;
443;BISKUPIA;6;kamienica;
444;BISKUPIA;8;kamienica;
445;BISKUPIA;11;kamienica;
446;BISKUPIA;12;kamienica;
447;BISKUPIA;13;kamienica;
448;BISKUPIA;15;kamienica;
449;BISKUPIA;17;kamienica;
450;BISKUPIA;18;kamienica;
451;BISKUPIA;19;kamienica;
452;BISKUPIA;20;kamienica;
453;BISKUPIA;23;Laboratorium Kryminalistyczne Komendy WojewÛdzkiej Policji w GdaÒsku, d. schronisko m≥odzieøowe im. Paula Beneke;
454;BISKUPIA;24 A i B;ZespÛ≥ Reduty Biskupiej GÛrki (koszary, budynek oficerski, wartownie wsch. i zach., mur z 3 bramami, korytarz podziemny z wylotem);476
455;BISKUPIA G”RKA miÍdzy ulicami Zakπtnπ, Na Stoku, Pohulankπ;;umocnienia Biskupiej GÛrki wraz z elementami strukturalnymi umocnieÒ Biskupiej GÛrki ( Bastion Zbawiciela, Bastion Poúredni,Bastion OstrorÛg, Bastion Vigillance,Luneta Caferellego, Luneta Delzous, Ravelin OstrorÛg Poúredni);475
456;BISKUPIA;24 C;kamienica;
457;BISKUPIA;25;kamienica;
458;BISKUPIA;26;kamienica;
459;BISKUPIA;27;kamienica;
460;BISKUPIA;28;kamienica;
461;BISKUPIA;29;kamienica;
462;BISKUPIA;30;kamienica;
463;BISKUPIA;31;kamienica;
464;BISKUPIA;33;kamienica;
465;BISKUPIA;34;kamienica;
466;BITWY OLIWSKIEJ;4;dom;
467;BITWY OLIWSKIEJ;5;dom;
468;BITWY OLIWSKIEJ;6;dom;
469;BITWY OLIWSKIEJ;7;dom;
470;BITWY OLIWSKIEJ;8;dom;
471;BITWY OLIWSKIEJ;9;dom;
472;BITWY OLIWSKIEJ;10;dom;
473;BITWY OLIWSKIEJ;11;dom;
474;BITWY OLIWSKIEJ;12;dom;
475;BITWY OLIWSKIEJ;13;dom;
476;BITWY OLIWSKIEJ;18;dom;
477;BITWY OLIWSKIEJ;19;dom;
478;BITWY OLIWSKIEJ;20;dom;
479;BITWY OLIWSKIEJ;20 A;dom;
480;BITWY OLIWSKIEJ;20 B;dom;
481;BITWY OLIWSKIEJ;20 C;dom;
482;BITWY OLIWSKIEJ;20 D;dom;
